Country,Rank,Rank (NO2),Rank (O3),Rank (PM2.5)
Austria,354,44,136,147
Belgium,65,25,106,56
Bulgaria,403,40,35,280
Croatia,439,39,179,163
Cyprus,715,119,177,363
Czechia,223,11,139,121
Denmark,46,0,102,59
Estonia,21,0,93,0
Finland,14,0,84,0
France,44,0,99,60
Germany,74,20,116,63
Greece,602,15,175,310
Hungary,399,13,153,186
Ireland,38,0,72,65
Italy,45,0,95,65
Latvia,215,0,109,160
Luxembourg,106,32,86,100
Malta,496,27,171,225
Netherlands,67,0,119,69
Norway,20,0,82,9
Poland,361,2,134,193
Portugal,28,0,122,0
Romania,456,51,94,250
Slovak Republic,443,11,120,254
Slovenia,589,31,147,312
Spain,62,12,52,117
Sweden,26,0,92,17
Switzerland,194,27,142,90
